date,open,high,low,close,volume
2023-01-03,472.4,475.549,470.8005,472.2317,20070604
2023-01-04,472.2317,474.5569,469.8915,472.763,14441508
2023-01-05,472.763,475.6207,468.0687,470.8968,10490198
2023-01-06,470.8968,473.4894,468.9568,472.451,11997599
2023-01-09,472.451,474.3405,471.779,472.3514,11695548
2023-01-10,472.3514,478.0842,469.9344,474.4352,5473629
2023-01-11,474.4352,474.4645,470.9391,473.529,11466811
2023-01-12,473.529,474.9473,472.1907,472.9142,19181242
2023-01-13,472.9142,476.6881,471.4013,474.8663,17792277
2023-01-16,474.8663,480.0255,474.3773,477.2721,17705933
2023-01-17,477.2721,478.8283,473.6206,475.3065,18316866
2023-01-18,475.3065,479.8029,473.9195,476.3941,8125497
2023-01-19,476.3941,478.4026,473.2916,476.107,5161623
2023-01-20,476.107,478.1245,473.7865,474.4989,18641727
2023-01-23,474.4989,479.1702,471.1079,476.1292,19673062
2023-01-24,476.1292,479.4382,475.0371,477.9419,19387455
2023-01-25,477.9419,479.5448,475.2282,478.6435,14509625
2023-01-26,478.6435,481.7571,473.5643,477.3759,18187367
2023-01-27,477.3759,478.0828,474.374,476,16392406
2023-01-30,476,479.0497,470.9814,474.1005,7438301
2023-01-31,474.1005,478.5869,470.858,475.1939,10239700
2023-02-01,475.1939,479.9032,474.9917,477.2843,20383812
2023-02-02,477.2843,480.5714,476.5349,478.9229,16331266
2023-02-03,478.9229,479.8577,477.3233,478.5387,11875775
2023-02-06,478.5387,482.583,474.8702,479.6364,16877114
2023-02-07,479.6364,484.8367,478.3668,481.7782,13698613
2023-02-08,481.7782,482.9843,478.711,481.3239,13607174
2023-02-09,481.3239,483.8367,478.5378,479.808,17526555
2023-02-10,479.808,482.2138,474.261,477.8399,5571181
2023-02-13,477.8399,478.2938,476.7629,477.0272,10374077
2023-02-14,477.0272,478.2232,474.2459,477.7216,21347337
2023-02-15,477.7216,480.2122,477.3209,478.5162,17329345
2023-02-16,478.5162,483.8976,477.3411,480.9853,17742060
2023-02-17,480.9853,485.019,480.982,482.4927,5025383
2023-02-20,482.4927,485.8762,478.825,482.2482,9601649
2023-02-21,482.2482,486.0828,478.8919,481.8812,18372402
2023-02-22,481.8812,483.3287,480.4791,480.8327,15344757
2023-02-23,480.8327,483.3198,478.976,479.9192,4968376
2023-02-24,479.9192,483.4283,478.8069,481.8063,19551865
2023-02-27,481.8063,484.1984,478.3772,483.5347,17272196
2023-02-28,483.5347,486.8445,479.7083,485.7466,4599975
2023-03-01,485.7466,488.6115,484.115,484.8894,12717596
2023-03-02,484.8894,487.6383,484.1911,486.091,17055667
2023-03-03,486.091,486.3782,484.6102,485.6933,21328711
2023-03-06,485.6933,487.2495,483.4776,485.9714,16760674
2023-03-07,485.9714,486.5113,484.8916,485.8965,21076460
2023-03-08,485.8965,487.5552,485.4547,485.6392,16783590
2023-03-09,485.6392,487.0214,481.9456,485.0988,8821160
2023-03-10,485.0988,487.477,479.4941,483.1336,19913382
2023-03-13,483.1336,484.0597,481.42,482.1306,19346099
2023-03-14,482.1306,486.4673,479.4025,483.9419,21867969
2023-03-15,483.9419,487.0083,480.0173,483.1276,14473915
2023-03-16,483.1276,486.1081,480.2176,482.2605,12281146
2023-03-17,482.2605,483.3987,479.4746,482.618,20518344
2023-03-20,482.618,485.4188,480.7685,481.2139,4212577
